Name,Third Dolch
Word,Sentences
about,Tell me about your day.^I read a book about animals.^We talked about the game.
better,She feels better now.^I want to do better.^It is better to wait.
bring,Please bring your bag.^He will bring a gift.^Can you bring some water?
carry,Carry the box carefully.^She can carry the bag.^He helps carry the toys.
clean,Please clean your room.^She will clean the table.^I like to keep things clean.
cut,Cut the paper carefully.^He cut his sandwich.^She can cut the ribbon.
done,Are you done with your work?^I am done eating.^He has done his homework.
draw,Draw a picture.^She likes to draw.^I can draw a cat.
drink,Can I have a drink?^She likes to drink water.^He drank his juice.
eight,I have eight pencils.^She saw eight birds.^We need eight chairs.
fall,The leaves fall in autumn.^Be careful not to fall.^He saw the ball fall.
far,We live far away.^The hill is far.^How far can you run?
full,The cup is full.^She is full after lunch.^The basket is full of apples.
got,I got a gift.^He got a new toy.^She got a surprise.
grow,Plants grow fast.^He wants to grow flowers.^I like to grow vegetables.
hold,Hold my hand.^She can hold the baby.^He holds the book tightly.
hot,The soup is hot.^It is hot outside.^Be careful, the pan is hot.
hurt,My arm hurts.^She fell and it hurt.^He hurt his foot.
if,If it rains, we stay inside.^Tell me if you need help.^I will go if I can.
keep,Keep your hands clean.^She keeps her room tidy.^Please keep it safe.
kind,Be kind to others.^She is very kind.^He did a kind thing.
laugh,We laugh at jokes.^She likes to laugh.^They laugh together.
light,Turn on the light.^The room is full of light.^She carried a light bag.
long,The road is long.^He has long hair.^It was a long day.
much,How much do you want?^She doesnâ€™t have much time.^I love you so much.
myself,I can do it myself.^I made it myself.^She looked at herself.
never,I never lie.^He never eats candy.^She said never again.
only,This is the only one.^I am the only child.^We have only two cookies.
own,She has her own book.^I want my own toy.^He built his own house.
pick,Pick a flower.^Can you pick a number?^She picked a red apple.
seven,I have seven marbles.^She saw seven birds.^We need seven chairs.
shall,Shall we play?^I shall go now.^Shall we start the game?
show,Please show me.^She will show her drawing.^He showed us the way.
six,I have six pencils.^She saw six birds.^We need six chairs.
small,The dog is small.^She has a small bag.^I saw a small bird.
start,We start school at nine.^She will start the game.^I will start my homework.
ten,I have ten apples.^She counted ten birds.^We need ten chairs.
today,Today is sunny.^I will play today.^She is happy today.
together,We work together.^They played together.^We walked together.
try,Try again.^I will try my best.^She tries to help.
warm,The blanket is warm.^It is warm outside.^He feels warm and cozy.
